kind,id,key,value
task,68,test_time,3.19
task,68,test_start,181.27
task,68,test_end,184.47
task,69,arrived,127.34
task,69,dev_queue_length,0.0
task,69,dev_time,2.13
task,69,dev_start,181.27
task,69,dev_end,183.4
task,69,test_queue_length,0.0
task,69,test_time,4.96
task,69,test_start,184.46
task,69,test_end,189.41
task,70,arrived,127.46
task,70,dev_queue_length,0.0
task,70,dev_time,1.99
task,70,dev_start,181.45
task,70,dev_end,183.43
task,70,test_queue_length,0.0
task,70,test_time,7.67
task,70,test_start,184.47
task,70,test_end,192.13
task,71,arrived,127.66
task,71,dev_queue_length,0.0
task,71,dev_time,2.57
task,71,dev_start,183.4
task,71,dev_end,185.97
task,71,test_queue_length,0.0
task,71,test_time,7.58
task,71,test_start,189.41
task,71,test_end,196.99
task,72,arrived,128.4
task,72,dev_queue_length,0.0
task,72,dev_time,2.95
task,72,dev_start,183.43
task,72,dev_end,186.38
task,72,test_queue_length,0.0
task,72,test_time,1.68
task,72,test_start,192.13
task,72,test_end,193.81
task,73,arrived,129.78
task,73,dev_queue_length,0.0
task,73,dev_time,1.53
task,73,dev_start,185.97
task,73,dev_end,187.5
task,73,test_queue_length,0.0
task,73,test_time,2.54
task,73,test_start,193.81
task,73,test_end,196.35
task,74,arrived,130.28
task,74,dev_queue_length,0.0
task,74,dev_time,7.71
task,74,dev_start,186.38
task,74,dev_end,194.09
task,74,test_queue_length,0.0
task,74,test_time,2.13
task,74,test_start,196.99
task,74,test_end,199.13
task,75,arrived,132.06
task,75,dev_queue_length,0.0
task,75,dev_time,3.18
task,75,dev_start,187.5
task,75,dev_end,190.68
task,75,test_queue_length,0.0
task,75,test_time,7.96
task,75,test_start,196.35
task,75,test_end,204.3
task,76,arrived,141.4
task,76,dev_queue_length,0.0
task,76,dev_time,9.31
task,76,dev_start,190.68
task,76,dev_end,199.99
task,76,test_queue_length,0.0
task,76,test_time,7.3
task,76,test_start,199.99
task,76,test_end,207.29
task,77,arrived,143.01
task,77,dev_queue_length,0.0
task,77,dev_time,9.38
task,77,dev_start,194.09
task,77,dev_end,203.47
task,77,test_queue_length,0.0
task,77,test_time,5.48
task,77,test_start,204.3
task,77,test_end,209.78
task,78,arrived,143.36
task,78,dev_queue_length,0.0
task,78,dev_time,7.59
